Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250217;61,95;OVERFØRSEL;FP50040905;3012203,69;90541000
20250217;8604,54;OVERFØRSEL;Ejd nr, 1689 - ejd.s;3012141,74;90541000
20250217;1589,56;BGS;Bgs 2.rate ejendomsbidea           g 040659-1301;3003537,20;90541000
20250217;503,50;OVERFØRSEL;Overførsel Pant App Betaling       Meddelnr. 19028008925048;-65562080,24;90540000
20250217;-4,00;GEBYR UDLAND;Gebyr udland 3504809469GEB   NCHG;-65562583,74;90540000
20250217;-47,465,61;UDENLANDSK OVERFØRSEL;Udenl. overf. 3504809469      NTRF;-65562579,74;90540000
20250217;2,972,00;OVERFØRSEL;Ovf. fra Hjørnestene               Meddelnr. 19025322825048;-65515114,13;90540000
20250217;71801,4;OTC-BETALING;Otc-betaling 2547552/4791830 NTRF;-65518086,13;90540000
20250217;153;DANKORT-SALG;Dankort-salg 15.02 5891507 276650;-65589887,53;90540000
20250217;30;DANKORT-SALG;Dankort-salg 16.02 5891507 276650;-65590040,53;90540000
20250217;-25;DANKORT-SALG;Dankort-salg 16.02 5541069 259750;-65590070,53;90540000
20250217;200;DANKORT-SALG;Dankort-salg 16.02 5541069 259750;-65590045,53;90540000

