Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250501;259,74;OVERFØRSEL;Overførsel                         Meddelnr. 02311752125121;3295025,91;90541000
20250501;1.623,37;OVERFØRSEL;Overførsel                         Meddelnr. 02311749125121;3294766,17;90541000
20250501;1.129,50;OVERFØRSEL;Afregningsnota 167                 El Recycling;-171588019,07;90540000
20250501;2.883,50;OVERFØRSEL;Afregningsnota 166                 Elrecycling;-171589148,57;90540000
20250501;1.268,50;OVERFØRSEL;Afregningsnota 165                 El Recycling;-171592032,07;90540000
20250501;20.803,00;OVERFØRSEL;Aalborg Kommune                    Meddelnr. 02308485325121;-171593300,57;90540000
20250501;-12.278,28;UDENLANDSK OVERFØRSEL;0505792971HTFP                     PSBGS25004651337                   3512107446      NTRF;-171614103,57;90540000
20250501;256.075,93;MOBILEPAY;Mobilepay 4000000000013004251;-170996554,07;90540000
20250501;10.801,72;MOBILEPAY;Mobilepay 3000000000013004252;-171252630,00;90540000
20250501;838,00;MOBILEPAY;Mobilepay 2020498350013004252;-171263431,72;90540000
20250501;29,00;MOBILEPAY;Mobilepay 2020471040013004259;-171264269,72;90540000
20250501;149,00;MOBILEPAY;Mobilepay 2020443930013004258;-171264298,72;90540000
20250501;30,00;MOBILEPAY;Mobilepay 2020421200013004256;-171264447,72;90540000
20250501;30,00;MOBILEPAY;Mobilepay 2020325480013004253;-171264477,72;90540000
20250501;233,00;MOBILEPAY;Mobilepay 2020320950013004254;-171264507,72;90540000
20250501;533,00;MOBILEPAY;Mobilepay 2020314620013004257;-171264740,72;90540000
20250501;937,00;MOBILEPAY;Mobilepay 2020302440013004258;-171265273,72;90540000
20250501;827,00;MOBILEPAY;Mobilepay 2020249660013004256;-171266210,72;90540000
20250501;120,00;MOBILEPAY;Mobilepay 2020219860013004251;-171267037,72;90540000
20250501;135,00;MOBILEPAY;Mobilepay 2020190910013004259;-171267157,72;90540000
20250501;397,00;MOBILEPAY;Mobilepay 2020094080013004256;-171267292,72;90540000
20250501;75,00;MOBILEPAY;Mobilepay 2009951390013004259;-171267689,72;90540000
20250501;8,00;MOBILEPAY;Mobilepay 2009103870013004255;-171267764,72;90540000
20250501;917,00;MOBILEPAY;Mobilepay 2008661100013004251;-171267772,72;90540000
20250501;30,00;MOBILEPAY;Mobilepay 2008446080013004253;-171268689,72;90540000
20250501;24,00;MOBILEPAY;Mobilepay 2008169120013004254;-171268719,72;90540000
20250501;20,00;MOBILEPAY;Mobilepay 2008082310013004251;-171268743,72;90540000
20250501;11.675,00;MOBILEPAY;Mobilepay 2007785490013004259;-171268763,72;90540000
20250501;300,00;MOBILEPAY;Mobilepay 2007583430013004259;-171280438,72;90540000
20250501;480,00;MOBILEPAY;Mobilepay 2007429540013004258;-171280738,72;90540000
20250501;605,00;MOBILEPAY;Mobilepay 2007260820013004250;-171281218,72;90540000
20250501;32,00;MOBILEPAY;Mobilepay 2007119930013004259;-171281823,72;90540000
20250501;490,00;MOBILEPAY;Mobilepay 2006864100013004254;-171281855,72;90540000
20250501;400,00;MOBILEPAY;Mobilepay 2006840070013004256;-171282345,72;90540000
20250501;200,00;MOBILEPAY;Mobilepay 2006596600013004255;-171282745,72;90540000
20250501;5,00;MOBILEPAY;Mobilepay 2006542270013004257;-171282945,72;90540000
20250501;146,50;MOBILEPAY;Mobilepay 2006169460013004259;-171282950,72;90540000
20250501;750,00;MOBILEPAY;Mobilepay 2005827710013004255;-171283097,22;90540000
20250501;230,00;MOBILEPAY;Mobilepay 2005473320013004251;-171283847,22;90540000
20250501;1.300,00;MOBILEPAY;Mobilepay 2004720010013004257;-171284077,22;90540000
20250501;900,00;MOBILEPAY;Mobilepay 2004407540013004257;-171285377,22;90540000
20250501;525,00;MOBILEPAY;Mobilepay 2004292740013004259;-171286277,22;90540000
20250501;535,00;MOBILEPAY;Mobilepay 2003872020013004251;-171286802,22;90540000
20250501;200,00;MOBILEPAY;Mobilepay 2003513780013004258;-171287337,22;90540000
20250501;105,00;MOBILEPAY;Mobilepay 2003444130013004252;-171287537,22;90540000
20250501;850,00;MOBILEPAY;Mobilepay 2002879700013004258;-171287642,22;90540000
20250501;314,00;MOBILEPAY;Mobilepay 2001923340013004251;-171288492,22;90540000
20250501;123,00;MOBILEPAY;Mobilepay 2001877710013004254;-171288806,22;90540000
20250501;40,00;MOBILEPAY;Mobilepay 2001684700013004253;-171288929,22;90540000
